"row ID","UniSMILES","pIC50","SD","hERG_class"
"Row0","Brc1cc(CCN2CCN(CCc3ccc4C(=O)OCc4c3)CC2)ccc1C#N",6.25,0.0,"active"
"Row1","Brc1ccc(CNC(=O)C2N(CCc3ccccn3)C(=O)c3ccccc23)cc1",5.03,0.0,"active"
"Row2","Brc1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(C3)C3CC3)CC2)cc1",5.15,0.0,"active"
"Row3","Brc1ccc(cc1)N(C1CCN(CC1)C1CCCC1)C(=O)NCc1ccccc1",6.75,0.0,"active"
"Row4","Brc1ccc(cc1)N(C1CCN(CC1)C1CCCC1)C(=O)Nc1ccccc1",6.73,0.0,"active"
"Row5","Brc1ccc(cc1)N(C1CCN(Cc2ccncc2)CC1)C(=O)NCc1ccccc1",5.64,0.0,"active"
"Row6","Brc1ccc(cc1)N(C1CCN(Cc2ccnnc2)CC1)C(=O)NCc1ccccc1",4.86,0.0,"inactive"
"Row7","Brc1ccc(cc1)[C@@H]1C[C@@H](CC[C@H]1C(=O)N1CC(C1)(c1ccccc1)c1ccccc1)N1CCOCC1",6.54,0.0,"active"
"Row8","Brc1ccc(cc1)[C@@H]1C[C@@H](CC[C@H]1C(=O)NC(c1ccccc1)c1ccccc1)N1CCOCC1",6.28,0.0,"active"
"Row9","Brc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc3ccc4OCC(=O)Nc4n3)c2c1",5.55,0.0,"active"
"Row10","Brc1ccc2Oc3cc(Cn4cncc4CN[C@@H]4CCN(Cc1c2)C4=O)ccc3C#N",5.34,0.0,"active"
"Row11","Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12",5.6,0.0,"active"
"Row12","Brc1ccc2c(c1)oc(cc2=O)C(=O)NC1CCN(Cc2ccc3OCOc3c2)CC1",8.6,0.0,"active"
"Row13","Brc1cccc2nc(ccc12)C#Cc1ccccn1",4.64,0.0,"inactive"
"Row14","Brc1cnc2nc(oc2c1)N1CCN2CCC1CC2",5.64,0.0,"active"
"Row15","Brc1cncc(COCC2(CCNCC2)c2ccccc2)c1",4.82,0.0,"inactive"
"Row16","Brc1cncc(c1)C(=O)N1CCC(NCc2cncn2Cc2ccc(cc2)C#N)C1=O",5.22,0.0,"active"
"Row17","Brc1cncc(c1)C(=O)N1CC[C@H](NCc2cncn2Cc2ccc(cc2)C#N)C1=O",5.22,0.0,"active"
"Row18","C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1",5.11,0.0,"active"
"Row19","C(C(N1CCNCC1)c1ccccc1)c1cccc2CCOc12",4.67,0.0,"inactive"
"Row20","C(C(N1CCNCC1)c1ccccc1)c1ccccc1OC1CC1",5.19,0.0,"active"
"Row21","C(C1CC1)N1CC2CN(CC3CC3)CC(C1)C21CCCC1",5.6,0.0,"active"
"Row22","C(C1CCCCN1)N1CCN(C1)c1ccccc1",4.8,0.0,"inactive"
"Row23","C(C1COc2ccccc2C1)N1CCC2(CCc3ccccc23)CC1",5.82,0.0,"active"
